# Structural comparison of zh_TW/userGuide.t2t against zh_TW/userGuide-newRevisions/14310/userGuide.t2t
en 1.2. start:36 paragraphs:1, tables:0, lists:0
zh_TW 1.2. start:37 paragraphs:1, tables:0, lists:0
en 1.3. start:40 paragraphs:3, tables:0, lists:0
zh_TW 1.3. start:41 paragraphs:3, tables:0, lists:0
en 1.4. start:47 paragraphs:2, tables:0, lists:0
zh_TW 1.4. start:48 paragraphs:2, tables:0, lists:0
en 1.5. start:54 paragraphs:2, tables:0, lists:0
zh_TW 1.5. start:56 paragraphs:3, tables:0, lists:0
en 2. start:62 paragraphs:0, tables:0, lists:1
zh_TW 2. start:68 paragraphs:6, tables:0, lists:1
zh_TW 2.1. start:103 paragraphs:2, tables:0, lists:0
zh_TW 2.1.1. start:113 paragraphs:1, tables:0, lists:0
zh_TW 2.1.2. start:119 paragraphs:1, tables:0, lists:0
zh_TW 2.1.3. start:124 paragraphs:1, tables:0, lists:0
zh_TW 2.1.4. start:128 paragraphs:1, tables:0, lists:0
zh_TW 2.2. start:133 paragraphs:2, tables:0, lists:0
en 3. start:71 paragraphs:6, tables:0, lists:0
zh_TW 3. start:145 paragraphs:0, tables:0, lists:0
en 3.1. start:90 paragraphs:1, tables:0, lists:1
zh_TW 3.1. start:147 paragraphs:5, tables:0, lists:0
zh_TW 3.1.1. start:167 paragraphs:1, tables:0, lists:0
zh_TW 3.1.2. start:176 paragraphs:1, tables:0, lists:0
en 3.2. start:99 paragraphs:2, tables:0, lists:0
zh_TW 3.2. start:183 paragraphs:0, tables:0, lists:0
en 3.2.1. start:109 paragraphs:1, tables:0, lists:0
zh_TW 3.2.1. start:185 paragraphs:3, tables:0, lists:0
en 3.2.2. start:113 paragraphs:1, tables:0, lists:0
zh_TW 3.2.2. start:194 paragraphs:2, tables:0, lists:0
en 3.2.3. start:117 paragraphs:1, tables:0, lists:0
en 3.3. start:122 paragraphs:2, tables:0, lists:0
zh_TW 3.3. start:202 paragraphs:1, tables:0, lists:0
zh_TW 3.3.1. start:211 paragraphs:1, tables:0, lists:0
zh_TW 3.3.2. start:216 paragraphs:7, tables:0, lists:0
zh_TW 3.3.3. start:239 paragraphs:2, tables:0, lists:0
zh_TW 3.3.4. start:250 paragraphs:2, tables:0, lists:0
zh_TW 3.4. start:259 paragraphs:2, tables:0, lists:0
zh_TW 3.5. start:267 paragraphs:2, tables:0, lists:0
zh_TW 3.6. start:275 paragraphs:0, tables:1, lists:0
zh_TW 3.7. start:289 paragraphs:0, tables:1, lists:0
en 4. start:134 paragraphs:0, tables:0, lists:0
zh_TW 4. start:297 paragraphs:1, tables:0, lists:0
en 4.1. start:136 paragraphs:5, tables:0, lists:0
zh_TW 4.1. start:300 paragraphs:1, tables:0, lists:0
en 4.1.1. start:154 paragraphs:1, tables:0, lists:0
en 4.2. start:163 paragraphs:0, tables:0, lists:0
zh_TW 4.2. start:304 paragraphs:3, tables:1, lists:0
en 4.2.1. start:165 paragraphs:3, tables:0, lists:0
en 4.2.2. start:174 paragraphs:2, tables:0, lists:0
en 4.3. start:182 paragraphs:1, tables:0, lists:0
zh_TW 4.3. start:321 paragraphs:4, tables:2, lists:0
en 4.3.1. start:187 paragraphs:1, tables:0, lists:0
en 4.3.2. start:192 paragraphs:7, tables:0, lists:0
en 4.3.3. start:215 paragraphs:2, tables:0, lists:0
en 4.3.4. start:226 paragraphs:2, tables:0, lists:0
en 4.4. start:235 paragraphs:2, tables:0, lists:0
zh_TW 4.4. start:346 paragraphs:7, tables:1, lists:0
en 4.5. start:243 paragraphs:2, tables:0, lists:0
