# Structural comparison of pl/userGuide.t2t against pl/userGuide-newRevisions/22863/userGuide.t2t
en 12.1.5. start:1664 paragraphs:35, tables:3, lists:0
pl 12.1.5. start:1664 paragraphs:37, tables:3, lists:0
en 12.1.7. start:1875 paragraphs:9, tables:1, lists:1
pl 12.1.7. start:1875 paragraphs:10, tables:1, lists:1
en 16. start:3109 paragraphs:1, tables:0, lists:0
pl 16. start:3110 paragraphs:1, tables:0, lists:0
en 16.1. start:3112 paragraphs:3, tables:0, lists:1
pl 16.1. start:3113 paragraphs:3, tables:0, lists:1
en 16.2. start:3132 paragraphs:5, tables:3, lists:0
pl 16.2. start:3133 paragraphs:5, tables:3, lists:0
en 16.3. start:3204 paragraphs:4, tables:1, lists:0
pl 16.3. start:3205 paragraphs:4, tables:1, lists:0
en 16.4. start:3256 paragraphs:3, tables:1, lists:1
pl 16.4. start:3257 paragraphs:3, tables:1, lists:1
en 16.5. start:3290 paragraphs:3, tables:1, lists:0
pl 16.5. start:3291 paragraphs:3, tables:1, lists:0
en 16.6. start:3312 paragraphs:6, tables:2, lists:1
pl 16.6. start:3313 paragraphs:6, tables:2, lists:1
en 16.7. start:3357 paragraphs:3, tables:1, lists:0
pl 16.7. start:3358 paragraphs:3, tables:1, lists:0
en 16.8. start:3376 paragraphs:3, tables:1, lists:0
pl 16.8. start:3377 paragraphs:3, tables:1, lists:0
en 16.9. start:3395 paragraphs:4, tables:0, lists:1
pl 16.9. start:3396 paragraphs:4, tables:0, lists:1
en 16.9.1. start:3409 paragraphs:0, tables:1, lists:0
pl 16.9.1. start:3410 paragraphs:0, tables:1, lists:0
en 16.9.2. start:3434 paragraphs:0, tables:1, lists:0
pl 16.9.2. start:3435 paragraphs:0, tables:1, lists:0
en 16.9.3. start:3442 paragraphs:0, tables:1, lists:0
pl 16.9.3. start:3443 paragraphs:0, tables:1, lists:0
en 16.10. start:3452 paragraphs:2, tables:1, lists:0
pl 16.10. start:3453 paragraphs:2, tables:1, lists:0
en 16.11. start:3523 paragraphs:2, tables:0, lists:1
pl 16.11. start:3524 paragraphs:2, tables:0, lists:1
en 16.11.1. start:3531 paragraphs:2, tables:1, lists:1
pl 16.11.1. start:3532 paragraphs:2, tables:1, lists:1
en 16.11.2. start:3556 paragraphs:2, tables:1, lists:1
pl 16.11.2. start:3557 paragraphs:2, tables:1, lists:1
en 16.17.2. start:3983 paragraphs:0, tables:1, lists:0
pl 16.17.2. start:3984 paragraphs:0, tables:1, lists:0
en 16.17.3. start:4005 paragraphs:0, tables:1, lists:0
pl 16.17.3. start:4006 paragraphs:0, tables:1, lists:0
en 16.17.4. start:4023 paragraphs:0, tables:1, lists:0
pl 16.17.4. start:4024 paragraphs:0, tables:1, lists:0
en 16.17.5. start:4042 paragraphs:0, tables:1, lists:0
pl 16.17.5. start:4043 paragraphs:1, tables:1, lists:0
en 16.18. start:4070 paragraphs:2, tables:1, lists:0
pl 16.18. start:4071 paragraphs:2, tables:1, lists:0
en 16.19. start:4086 paragraphs:4, tables:1, lists:0
pl 16.19. start:4087 paragraphs:4, tables:1, lists:0
en 16.20. start:4115 paragraphs:3, tables:1, lists:0
pl 16.20. start:4116 paragraphs:3, tables:1, lists:0
en 16.21. start:4179 paragraphs:3, tables:1, lists:0
pl 16.21. start:4180 paragraphs:3, tables:1, lists:0
en 17. start:4208 paragraphs:0, tables:0, lists:0
pl 17. start:4209 paragraphs:0, tables:0, lists:0
en 17.1. start:4210 paragraphs:6, tables:0, lists:1
pl 17.1. start:4211 paragraphs:6, tables:0, lists:1
en 17.2. start:4240 paragraphs:4, tables:0, lists:1
pl 17.2. start:4241 paragraphs:4, tables:0, lists:1
en 17.3. start:4254 paragraphs:6, tables:3, lists:0
pl 17.3. start:4255 paragraphs:6, tables:3, lists:0
en 17.4. start:4302 paragraphs:3, tables:1, lists:1
pl 17.4. start:4301 paragraphs:3, tables:1, lists:1
en 18. start:4315 paragraphs:1, tables:0, lists:0
pl 18. start:4314 paragraphs:1, tables:0, lists:0
# end of comparison
