# Structural comparison of tr/userGuide.t2t against tr/userGuide-newRevisions/22978/userGuide.t2t
en 12.1.19. start:2384 paragraphs:33, tables:6, lists:8
tr 12.1.19. start:2384 paragraphs:32, tables:6, lists:7
en 12.2. start:2598 paragraphs:1, tables:0, lists:0
tr 12.2. start:2600 paragraphs:1, tables:0, lists:0
en 12.2.1. start:2601 paragraphs:9, tables:0, lists:1
tr 12.2.1. start:2603 paragraphs:9, tables:0, lists:1
en 12.2.2. start:2637 paragraphs:8, tables:0, lists:1
tr 12.2.2. start:2639 paragraphs:8, tables:0, lists:1
en 12.2.3. start:2674 paragraphs:9, tables:0, lists:1
tr 12.2.3. start:2676 paragraphs:9, tables:0, lists:0
en 12.3. start:2707 paragraphs:3, tables:1, lists:0
tr 12.3. start:2709 paragraphs:3, tables:1, lists:0
en 12.4. start:2722 paragraphs:3, tables:0, lists:0
tr 12.4. start:2724 paragraphs:3, tables:0, lists:0
en 12.4.1. start:2733 paragraphs:5, tables:0, lists:1
tr 12.4.1. start:2735 paragraphs:5, tables:0, lists:1
en 12.4.2. start:2749 paragraphs:3, tables:0, lists:0
tr 12.4.2. start:2751 paragraphs:3, tables:0, lists:0
en 12.4.3. start:2761 paragraphs:1, tables:0, lists:0
tr 12.4.3. start:2763 paragraphs:1, tables:0, lists:0
en 12.4.4. start:2769 paragraphs:5, tables:0, lists:1
tr 12.4.4. start:2771 paragraphs:5, tables:0, lists:1
en 12.4.5. start:2782 paragraphs:2, tables:0, lists:0
tr 12.4.5. start:2784 paragraphs:2, tables:0, lists:0
en 12.4.6. start:2790 paragraphs:2, tables:0, lists:0
tr 12.4.6. start:2792 paragraphs:2, tables:0, lists:0
en 12.4.7. start:2797 paragraphs:1, tables:0, lists:0
tr 12.4.7. start:2799 paragraphs:1, tables:0, lists:0
en 12.5. start:2805 paragraphs:3, tables:0, lists:0
tr 12.5. start:2807 paragraphs:3, tables:0, lists:0
en 13. start:2817 paragraphs:4, tables:0, lists:1
tr 13. start:2819 paragraphs:4, tables:0, lists:1
en 13.1. start:2835 paragraphs:2, tables:0, lists:0
tr 13.1. start:2837 paragraphs:2, tables:0, lists:0
en 13.1.1. start:2844 paragraphs:1, tables:0, lists:0
tr 13.1.1. start:2846 paragraphs:1, tables:0, lists:0
en 13.1.2. start:2849 paragraphs:2, tables:0, lists:0
tr 13.1.2. start:2851 paragraphs:2, tables:0, lists:0
en 13.1.3. start:2860 paragraphs:1, tables:0, lists:0
tr 13.1.3. start:2862 paragraphs:1, tables:0, lists:0
en 13.1.4. start:2863 paragraphs:3, tables:0, lists:1
tr 13.1.4. start:2865 paragraphs:3, tables:0, lists:1
en 13.1.5. start:2875 paragraphs:1, tables:0, lists:0
tr 13.1.5. start:2877 paragraphs:1, tables:0, lists:0
en 13.2. start:2881 paragraphs:1, tables:0, lists:0
tr 13.2. start:2883 paragraphs:1, tables:0, lists:0
en 13.2.1. start:2886 paragraphs:6, tables:0, lists:0
tr 13.2.1. start:2888 paragraphs:7, tables:0, lists:0
en 13.2.2. start:2908 paragraphs:1, tables:0, lists:0
tr 13.2.2. start:2917 paragraphs:1, tables:0, lists:0
en 13.2.3. start:2915 paragraphs:1, tables:0, lists:0
tr 13.2.3. start:2927 paragraphs:1, tables:0, lists:0
en 13.2.4. start:2925 paragraphs:1, tables:0, lists:0
en 13.3. start:2933 paragraphs:4, tables:0, lists:0
tr 13.3. start:2935 paragraphs:4, tables:0, lists:0
en 14. start:2950 paragraphs:0, tables:0, lists:0
tr 14. start:2952 paragraphs:0, tables:0, lists:0
en 14.1. start:2952 paragraphs:4, tables:1, lists:0
tr 14.1. start:2954 paragraphs:4, tables:1, lists:0
en 14.2. start:2969 paragraphs:5, tables:0, lists:0
tr 14.2. start:2971 paragraphs:5, tables:0, lists:0
en 14.3. start:2984 paragraphs:6, tables:0, lists:0
tr 14.3. start:2986 paragraphs:6, tables:0, lists:0
en 14.4. start:3008 paragraphs:1, tables:0, lists:0
tr 14.4. start:3010 paragraphs:1, tables:0, lists:0
en 14.5. start:3012 paragraphs:1, tables:0, lists:0
tr 14.5. start:3014 paragraphs:1, tables:0, lists:0
en 14.6. start:3016 paragraphs:4, tables:0, lists:1
tr 14.6. start:3018 paragraphs:4, tables:0, lists:1
en 14.7. start:3027 paragraphs:5, tables:0, lists:1
tr 14.7. start:3029 paragraphs:5, tables:0, lists:1
en 14.8. start:3042 paragraphs:2, tables:1, lists:0
tr 14.8. start:3044 paragraphs:2, tables:1, lists:0
en 15. start:3054 paragraphs:1, tables:0, lists:0
tr 15. start:3056 paragraphs:1, tables:0, lists:0
en 15.1. start:3058 paragraphs:3, tables:0, lists:0
tr 15.1. start:3060 paragraphs:3, tables:0, lists:0
en 15.2. start:3068 paragraphs:2, tables:0, lists:0
tr 15.2. start:3070 paragraphs:2, tables:0, lists:0
en 15.3. start:3075 paragraphs:1, tables:0, lists:0
tr 15.3. start:3077 paragraphs:1, tables:0, lists:0
en 15.4. start:3080 paragraphs:3, tables:0, lists:1
tr 15.4. start:3082 paragraphs:3, tables:0, lists:1
en 15.5. start:3093 paragraphs:3, tables:0, lists:0
tr 15.5. start:3095 paragraphs:3, tables:0, lists:0
en 16. start:3110 paragraphs:1, tables:0, lists:0
tr 16. start:3112 paragraphs:1, tables:0, lists:0
en 16.1. start:3113 paragraphs:3, tables:0, lists:1
tr 16.1. start:3115 paragraphs:3, tables:0, lists:1
en 16.2. start:3133 paragraphs:5, tables:3, lists:0
tr 16.2. start:3135 paragraphs:5, tables:3, lists:0
en 16.3. start:3205 paragraphs:4, tables:1, lists:0
tr 16.3. start:3207 paragraphs:4, tables:1, lists:0
en 16.4. start:3257 paragraphs:3, tables:1, lists:1
tr 16.4. start:3259 paragraphs:3, tables:1, lists:1
en 16.5. start:3291 paragraphs:3, tables:1, lists:0
tr 16.5. start:3293 paragraphs:3, tables:1, lists:0
en 16.6. start:3313 paragraphs:6, tables:2, lists:1
tr 16.6. start:3315 paragraphs:6, tables:2, lists:1
en 16.7. start:3358 paragraphs:3, tables:1, lists:0
tr 16.7. start:3360 paragraphs:3, tables:1, lists:0
en 16.8. start:3377 paragraphs:3, tables:1, lists:0
tr 16.8. start:3379 paragraphs:3, tables:1, lists:0
en 16.9. start:3396 paragraphs:4, tables:0, lists:1
tr 16.9. start:3398 paragraphs:4, tables:0, lists:1
en 16.9.1. start:3410 paragraphs:0, tables:1, lists:0
tr 16.9.1. start:3412 paragraphs:0, tables:1, lists:0
en 16.9.2. start:3435 paragraphs:0, tables:1, lists:0
tr 16.9.2. start:3437 paragraphs:0, tables:1, lists:0
en 16.9.3. start:3443 paragraphs:0, tables:1, lists:0
tr 16.9.3. start:3445 paragraphs:0, tables:1, lists:0
en 16.10. start:3453 paragraphs:2, tables:1, lists:0
tr 16.10. start:3455 paragraphs:2, tables:1, lists:0
en 16.11. start:3524 paragraphs:2, tables:0, lists:1
tr 16.11. start:3526 paragraphs:2, tables:0, lists:1
en 16.11.1. start:3532 paragraphs:2, tables:1, lists:1
tr 16.11.1. start:3534 paragraphs:2, tables:1, lists:1
en 16.11.2. start:3557 paragraphs:2, tables:1, lists:1
tr 16.11.2. start:3559 paragraphs:2, tables:1, lists:1
en 16.12. start:3598 paragraphs:10, tables:3, lists:3
tr 16.12. start:3600 paragraphs:10, tables:3, lists:3
en 16.13. start:3689 paragraphs:9, tables:4, lists:1
tr 16.13. start:3691 paragraphs:9, tables:4, lists:1
en 16.14. start:3773 paragraphs:10, tables:3, lists:1
tr 16.14. start:3775 paragraphs:10, tables:3, lists:1
en 16.15. start:3865 paragraphs:4, tables:1, lists:1
tr 16.15. start:3867 paragraphs:4, tables:1, lists:1
en 16.16. start:3901 paragraphs:1, tables:1, lists:0
tr 16.16. start:3903 paragraphs:1, tables:1, lists:0
en 16.17. start:3911 paragraphs:2, tables:0, lists:0
tr 16.17. start:3913 paragraphs:3, tables:1, lists:0
en 16.17.1. start:3921 paragraphs:0, tables:1, lists:0
tr 16.17.1. start:3986 paragraphs:0, tables:1, lists:0
en 16.17.2. start:3984 paragraphs:0, tables:1, lists:0
tr 16.17.2. start:4008 paragraphs:0, tables:1, lists:0
en 16.17.3. start:4006 paragraphs:0, tables:1, lists:0
tr 16.17.3. start:4026 paragraphs:0, tables:1, lists:0
en 16.17.4. start:4024 paragraphs:0, tables:1, lists:0
tr 16.17.4. start:4045 paragraphs:0, tables:1, lists:0
en 16.17.5. start:4043 paragraphs:0, tables:1, lists:0
en 16.18. start:4071 paragraphs:2, tables:1, lists:0
tr 16.18. start:4073 paragraphs:2, tables:1, lists:0
en 16.19. start:4087 paragraphs:4, tables:1, lists:0
tr 16.19. start:4089 paragraphs:4, tables:1, lists:0
en 16.20. start:4116 paragraphs:3, tables:1, lists:0
tr 16.20. start:4118 paragraphs:3, tables:1, lists:1
en 16.21. start:4180 paragraphs:3, tables:1, lists:0
tr 16.21. start:4182 paragraphs:3, tables:1, lists:0
en 17. start:4209 paragraphs:0, tables:0, lists:0
tr 17. start:4211 paragraphs:0, tables:0, lists:0
en 17.1. start:4211 paragraphs:6, tables:0, lists:1
tr 17.1. start:4213 paragraphs:6, tables:0, lists:1
en 17.2. start:4242 paragraphs:4, tables:0, lists:1
tr 17.2. start:4244 paragraphs:4, tables:0, lists:1
en 17.3. start:4256 paragraphs:6, tables:3, lists:0
tr 17.3. start:4258 paragraphs:7, tables:4, lists:0
en 17.4. start:4306 paragraphs:3, tables:1, lists:1
tr 17.4. start:4308 paragraphs:3, tables:1, lists:1
en 18. start:4319 paragraphs:1, tables:0, lists:0
tr 18. start:4321 paragraphs:1, tables:0, lists:0
# end of comparison
