# Structural comparison of ja/userGuide.t2t against ja/userGuide-newRevisions/22242/userGuide.t2t
en 1. start:12 paragraphs:2, tables:0, lists:0
ja 1. start:10 paragraphs:2, tables:0, lists:0
en 1.1. start:19 paragraphs:4, tables:0, lists:1
ja 1.1. start:17 paragraphs:4, tables:0, lists:1
en 1.2. start:41 paragraphs:1, tables:0, lists:1
ja 1.2. start:39 paragraphs:1, tables:0, lists:1
en 1.3. start:51 paragraphs:1, tables:0, lists:0
ja 1.3. start:49 paragraphs:1, tables:0, lists:0
en 1.4. start:55 paragraphs:3, tables:0, lists:0
ja 1.4. start:53 paragraphs:3, tables:0, lists:0
en 1.5. start:62 paragraphs:2, tables:0, lists:0
ja 1.5. start:60 paragraphs:2, tables:0, lists:0
en 1.6. start:70 paragraphs:3, tables:0, lists:0
ja 1.6. start:68 paragraphs:3, tables:0, lists:0
en 2. start:83 paragraphs:1, tables:0, lists:0
ja 2. start:81 paragraphs:1, tables:0, lists:0
en 2.1. start:90 paragraphs:2, tables:0, lists:0
ja 2.1. start:88 paragraphs:2, tables:0, lists:0
en 2.1.1. start:99 paragraphs:2, tables:0, lists:1
ja 2.1.1. start:97 paragraphs:2, tables:0, lists:1
en 2.2. start:112 paragraphs:2, tables:0, lists:0
ja 2.2. start:110 paragraphs:2, tables:0, lists:0
en 2.2.1. start:120 paragraphs:6, tables:0, lists:2
ja 2.2.1. start:118 paragraphs:6, tables:0, lists:2
en 2.2.2. start:154 paragraphs:2, tables:0, lists:1
ja 2.2.2. start:152 paragraphs:2, tables:0, lists:1
en 2.3. start:186 paragraphs:2, tables:0, lists:0
ja 2.3. start:184 paragraphs:2, tables:0, lists:0
en 2.3.1. start:196 paragraphs:1, tables:0, lists:0
ja 2.3.1. start:194 paragraphs:1, tables:0, lists:0
en 2.3.2. start:200 paragraphs:1, tables:0, lists:0
ja 2.3.2. start:198 paragraphs:1, tables:0, lists:0
en 2.3.3. start:205 paragraphs:0, tables:1, lists:0
ja 2.3.3. start:203 paragraphs:0, tables:1, lists:0
en 2.3.4. start:212 paragraphs:0, tables:1, lists:0
ja 2.3.4. start:210 paragraphs:0, tables:1, lists:0
en 2.3.5. start:219 paragraphs:0, tables:1, lists:0
ja 2.3.5. start:217 paragraphs:0, tables:1, lists:0
en 2.3.6. start:229 paragraphs:0, tables:1, lists:0
ja 2.3.6. start:227 paragraphs:0, tables:1, lists:0
en 2.3.7. start:236 paragraphs:0, tables:1, lists:0
ja 2.3.7. start:234 paragraphs:0, tables:1, lists:0
en 2.3.8. start:243 paragraphs:1, tables:1, lists:0
ja 2.3.8. start:241 paragraphs:1, tables:1, lists:0
en 2.4. start:256 paragraphs:1, tables:0, lists:0
ja 2.4. start:254 paragraphs:1, tables:0, lists:0
en 2.5. start:264 paragraphs:2, tables:0, lists:0
ja 2.5. start:262 paragraphs:2, tables:0, lists:0
en 2.6. start:274 paragraphs:5, tables:0, lists:1
ja 2.6. start:273 paragraphs:5, tables:0, lists:1
en 3. start:296 paragraphs:0, tables:0, lists:0
ja 3. start:295 paragraphs:0, tables:0, lists:0
en 3.1. start:298 paragraphs:2, tables:0, lists:0
ja 3.1. start:297 paragraphs:2, tables:0, lists:0
en 3.1.1. start:309 paragraphs:1, tables:0, lists:0
ja 3.1.1. start:308 paragraphs:1, tables:0, lists:0
en 3.1.2. start:316 paragraphs:1, tables:0, lists:0
ja 3.1.2. start:315 paragraphs:1, tables:0, lists:0
en 3.1.3. start:321 paragraphs:1, tables:0, lists:0
ja 3.1.3. start:320 paragraphs:1, tables:0, lists:0
en 3.1.4. start:325 paragraphs:1, tables:0, lists:0
ja 3.1.4. start:324 paragraphs:1, tables:0, lists:0
en 3.2. start:330 paragraphs:2, tables:0, lists:0
ja 3.2. start:329 paragraphs:2, tables:0, lists:0
en 3.3. start:343 paragraphs:4, tables:0, lists:1
ja 3.3. start:342 paragraphs:4, tables:0, lists:1
en 4. start:365 paragraphs:0, tables:0, lists:0
ja 4. start:364 paragraphs:0, tables:0, lists:0
en 4.1. start:367 paragraphs:5, tables:0, lists:0
ja 4.1. start:366 paragraphs:5, tables:0, lists:0
en 4.1.1. start:387 paragraphs:1, tables:0, lists:0
ja 4.1.1. start:386 paragraphs:1, tables:0, lists:0
en 4.1.2. start:396 paragraphs:1, tables:0, lists:0
ja 4.1.2. start:395 paragraphs:1, tables:0, lists:0
en 4.2. start:403 paragraphs:0, tables:0, lists:0
ja 4.2. start:402 paragraphs:0, tables:0, lists:0
en 4.2.1. start:405 paragraphs:3, tables:0, lists:0
ja 4.2.1. start:404 paragraphs:3, tables:0, lists:0
en 4.2.2. start:414 paragraphs:2, tables:0, lists:0
ja 4.2.2. start:413 paragraphs:2, tables:0, lists:0
en 4.3. start:422 paragraphs:1, tables:0, lists:0
ja 4.3. start:421 paragraphs:1, tables:0, lists:0
en 4.3.1. start:431 paragraphs:1, tables:0, lists:0
ja 4.3.1. start:430 paragraphs:1, tables:0, lists:0
en 4.3.2. start:436 paragraphs:7, tables:0, lists:0
ja 4.3.2. start:435 paragraphs:7, tables:0, lists:0
en 4.3.3. start:459 paragraphs:2, tables:0, lists:0
ja 4.3.3. start:458 paragraphs:2, tables:0, lists:0
en 4.3.4. start:470 paragraphs:2, tables:0, lists:0
ja 4.3.4. start:469 paragraphs:2, tables:0, lists:0
en 4.4. start:479 paragraphs:2, tables:0, lists:0
ja 4.4. start:478 paragraphs:2, tables:0, lists:0
en 4.5. start:487 paragraphs:3, tables:0, lists:1
ja 4.5. start:486 paragraphs:3, tables:0, lists:1
en 4.6. start:500 paragraphs:0, tables:1, lists:0
ja 4.6. start:499 paragraphs:0, tables:1, lists:0
en 4.7. start:514 paragraphs:0, tables:1, lists:0
ja 4.7. start:513 paragraphs:0, tables:1, lists:0
en 5. start:522 paragraphs:1, tables:0, lists:0
ja 5. start:521 paragraphs:1, tables:0, lists:0
en 5.1. start:525 paragraphs:1, tables:0, lists:0
ja 5.1. start:524 paragraphs:1, tables:0, lists:0
en 5.2. start:529 paragraphs:3, tables:1, lists:0
ja 5.2. start:528 paragraphs:3, tables:1, lists:0
en 5.3. start:547 paragraphs:4, tables:2, lists:0
ja 5.3. start:546 paragraphs:4, tables:2, lists:0
en 5.4. start:581 paragraphs:8, tables:1, lists:0
ja 5.4. start:580 paragraphs:8, tables:1, lists:0
en 5.5. start:632 paragraphs:6, tables:2, lists:0
ja 5.5. start:631 paragraphs:6, tables:2, lists:0
en 5.6. start:677 paragraphs:2, tables:1, lists:0
ja 5.6. start:676 paragraphs:2, tables:1, lists:0
en 5.6.1. start:687 paragraphs:1, tables:0, lists:0
ja 5.6.1. start:686 paragraphs:1, tables:0, lists:0
en 5.6.2. start:692 paragraphs:3, tables:0, lists:0
ja 5.6.2. start:691 paragraphs:3, tables:0, lists:0
en 5.6.3. start:701 paragraphs:3, tables:0, lists:0
ja 5.6.3. start:700 paragraphs:3, tables:0, lists:0
en 5.7. start:710 paragraphs:5, tables:1, lists:0
ja 5.7. start:709 paragraphs:5, tables:1, lists:0
en 6. start:735 paragraphs:5, tables:1, lists:1
ja 6. start:734 paragraphs:5, tables:1, lists:1
en 6.1. start:775 paragraphs:4, tables:1, lists:1
ja 6.1. start:774 paragraphs:4, tables:1, lists:1
ja 6.1.1. start:816 paragraphs:4, tables:0, lists:2
en 6.2. start:817 paragraphs:1, tables:1, lists:0
ja 6.2. start:836 paragraphs:1, tables:1, lists:0
en 6.3. start:828 paragraphs:1, tables:1, lists:0
ja 6.3. start:847 paragraphs:1, tables:1, lists:0
en 6.4. start:841 paragraphs:1, tables:1, lists:0
ja 6.4. start:860 paragraphs:1, tables:1, lists:0
en 7. start:853 paragraphs:4, tables:0, lists:1
ja 7. start:872 paragraphs:4, tables:0, lists:1
en 7.1. start:882 paragraphs:7, tables:1, lists:1
ja 7.1. start:901 paragraphs:7, tables:1, lists:1
